Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-07-13,2016,7,13,Wednesday,28,2016-28,37.41,37.67,36.69,36.81,373500,36.81,-0.013136672219625112,35.80214285714286,31.7396
2016-07-14,2016,7,14,Thursday,28,2016-28,37.44,37.72,36.93,37.42,767000,37.42,0.016571496139549335,35.93928571428571,31.973599999999998
2016-07-15,2016,7,15,Friday,28,2016-28,37.33,37.74,36.68,37.64,475100,37.64,0.00587924188851785,36.16214285714286,32.1454
2016-07-18,2016,7,18,Monday,29,2016-29,37.68,38.02,37.55,37.95,448300,37.95,0.008235955853290289,36.515,32.3546
2016-07-19,2016,7,19,Tuesday,29,2016-29,37.74,38.25,37.69,37.86,480700,37.86,-0.002371545475060466,36.78357142857143,32.563599999999994
2016-07-20,2016,7,20,Wednesday,29,2016-29,37.91,38.6,37.63,38.47,515800,38.47,0.016112007409339046,37.00571428571429,32.787
2016-07-21,2016,7,21,Thursday,29,2016-29,38.6,39.11,37.89,38.11,967800,38.11,-0.009357956821634428,37.11,32.992200000000004
2016-07-22,2016,7,22,Friday,29,2016-29,38.01,38.65,37.94,38.58,525900,38.58,0.012332752904114619,37.28142857142858,33.2038
2016-07-25,2016,7,25,Monday,30,2016-30,38.38,38.5,37.92,38.17,205700,38.17,-0.010627362432609977,37.458571428571425,33.4
2016-07-26,2016,7,26,Tuesday,30,2016-30,38.11,38.95,38.11,38.76,294500,38.76,0.01545717005215641,37.665,33.6106
2016-07-27,2016,7,27,Wednesday,30,2016-30,38.73,39.2,38.57,38.85,392100,38.85,0.002321985461436249,37.85071428571428,33.8076
2016-07-28,2016,7,28,Thursday,30,2016-30,38.93,39.57,38.93,39.22,714400,39.22,0.009523880594963119,38.019285714285715,34.0206
2016-07-29,2016,7,29,Friday,30,2016-30,39.18,39.72,38.93,39.41,649200,39.41,0.00484443194276829,38.18214285714286,34.228
2016-08-01,2016,8,1,Monday,31,2016-31,39.45,39.99,39.3,39.94,601700,39.94,0.013448332437171473,38.37071428571428,34.471599999999995
2016-08-02,2016,8,2,Tuesday,31,2016-31,39.95,39.95,38.88,39.36,724000,39.36,-0.014521733507761314,38.55285714285714,34.692800000000005
2016-08-03,2016,8,3,Wednesday,31,2016-31,39.3,39.36,38.84,39.06,777800,39.06,-0.007621931717695318,38.67,34.9082
2016-08-04,2016,8,4,Thursday,31,2016-31,39.05,39.63,38.72,39.35,1669900,39.35,0.0074244006818795505,38.79214285714285,35.114399999999996
2016-08-05,2016,8,5,Friday,31,2016-31,37.8,38.01,36.35,37.17,3612800,37.17,-0.055400264033287794,38.73642857142857,35.2744
2016-08-08,2016,8,8,Monday,32,2016-32,37.24,37.57,36.61,37.14,777700,37.14,-0.0008070697006904437,38.684999999999995,35.4416
2016-08-09,2016,8,9,Tuesday,32,2016-32,37.0,37.0,36.1,36.14,655300,36.14,-0.026925148530797194,38.51857142857143,35.580799999999996
2016-08-10,2016,8,10,Wednesday,32,2016-32,36.14,36.62,35.31,35.32,691100,35.32,-0.02268953261407891,38.31928571428572,35.7024
2016-08-11,2016,8,11,Thursday,32,2016-32,35.49,35.73,35.08,35.23,492300,35.23,-0.0025481357125005655,38.08,35.828799999999994
2016-08-12,2016,8,12,Friday,32,2016-32,35.15,35.38,34.6,35.01,825200,35.01,-0.006244712562070043,37.854285714285716,35.936
2016-08-15,2016,8,15,Monday,33,2016-33,35.0,35.75,35.0,35.42,368800,35.42,0.011710935934547972,37.61571428571428,36.0496
2016-08-16,2016,8,16,Tuesday,33,2016-33,35.52,35.95,33.9,34.06,952300,34.06,-0.03839629774026021,37.27357142857142,36.1152
2016-08-17,2016,8,17,Wednesday,33,2016-33,34.2,34.29,33.02,34.07,986400,34.07,0.0002935502386984812,36.90571428571429,36.1486
2016-08-18,2016,8,18,Thursday,33,2016-33,34.09,34.27,33.76,33.84,390600,33.84,-0.006750793786219789,36.50785714285714,36.1686
2016-08-19,2016,8,19,Friday,33,2016-33,33.87,34.77,33.57,34.66,601200,34.66,0.02423166935953791,36.130714285714284,36.208200000000005
2016-08-22,2016,8,22,Monday,34,2016-34,34.53,35.11,34.27,34.87,579700,34.87,0.0060588310847420335,35.81,36.2564
2016-08-23,2016,8,23,Tuesday,34,2016-34,35.1,35.59,34.77,34.8,963000,34.8,-0.0020074475758073973,35.50571428571429,36.3
2016-08-24,2016,8,24,Wednesday,34,2016-34,34.72,34.92,33.69,33.92,416500,33.92,-0.025287387569194797,35.11785714285714,36.321799999999996
2016-08-25,2016,8,25,Thursday,34,2016-34,33.75,34.08,33.64,33.9,583900,33.9,-0.0005895237071301684,34.88428571428572,36.3414
2016-08-26,2016,8,26,Friday,34,2016-34,33.85,34.62,33.85,34.13,322700,34.13,0.006784646958223561,34.669285714285714,36.3584
2016-08-29,2016,8,29,Monday,35,2016-35,34.12,34.7,34.12,34.43,285800,34.43,0.008789898261702955,34.54714285714286,36.3638
2016-08-30,2016,8,30,Tuesday,35,2016-35,34.46,34.75,34.08,34.23,272600,34.23,-0.005808909705684373,34.46928571428571,36.3476
2016-08-31,2016,8,31,Wednesday,35,2016-35,34.05,34.38,33.53,33.83,404600,33.83,-0.011685589147849229,34.369285714285716,36.3256
2016-09-01,2016,9,1,Thursday,35,2016-35,33.73,34.06,32.96,34.05,463500,34.05,0.006503026724755001,34.300714285714285,36.312
2016-09-02,2016,9,2,Friday,35,2016-35,34.2,34.8,34.11,34.6,321600,34.6,0.0161526945487247,34.24214285714286,36.294000000000004
2016-09-06,2016,9,6,Tuesday,36,2016-36,34.66,34.95,34.11,34.81,743600,34.81,0.006069448220553886,34.29571428571428,36.2998
2016-09-07,2016,9,7,Wednesday,36,2016-36,34.81,34.9,34.51,34.83,285800,34.83,0.0005745606714919749,34.35,36.3362
2016-09-08,2016,9,8,Thursday,36,2016-36,34.81,34.81,34.26,34.28,313300,34.28,-0.015791071571734094,34.38142857142857,36.3398
