Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-07-10,2018,7,10,Tuesday,27,2018-27,62.61,62.77,61.23,61.7,139500,61.7,-0.011376367348318372,61.38857142857143,58.0404
2018-07-11,2018,7,11,Wednesday,27,2018-27,61.05,62.64,60.0,62.45,238700,62.45,0.012155591421815659,61.255,58.321999999999996
2018-07-12,2018,7,12,Thursday,27,2018-27,62.51,64.05,62.51,63.78,300000,63.78,0.02129700560623049,61.402857142857144,58.6064
2018-07-13,2018,7,13,Friday,27,2018-27,63.61,64.31,62.71,63.57,300500,63.57,-0.003292553911757423,61.55142857142857,58.863
2018-07-16,2018,7,16,Monday,28,2018-28,63.73,63.98,63.27,63.61,165800,63.61,0.0006292420279907507,61.76642857142857,59.1058
2018-07-17,2018,7,17,Tuesday,28,2018-28,63.45,64.66,63.22,64.33,292900,64.33,0.0113189940857501,62.01714285714286,59.3324
2018-07-18,2018,7,18,Wednesday,28,2018-28,64.33,64.4,63.28,63.76,215100,63.76,-0.008860617026227424,62.23214285714287,59.4956
2018-07-19,2018,7,19,Thursday,28,2018-28,63.64,64.1,63.33,63.68,177200,63.68,-0.0012546740662382483,62.56214285714286,59.6792
2018-07-20,2018,7,20,Friday,28,2018-28,63.49,63.97,62.62,62.74,205500,62.74,-0.0147612848964227,62.77571428571429,59.819199999999995
2018-07-23,2018,7,23,Monday,29,2018-29,62.79,63.74,62.66,63.68,253300,63.68,0.014982445036044734,62.959999999999994,60.0
2018-07-24,2018,7,24,Tuesday,29,2018-29,62.86,63.76,61.02,61.42,233300,61.42,-0.03548998312499663,62.99,60.1434
2018-07-25,2018,7,25,Wednesday,29,2018-29,61.42,62.76,61.42,62.7,253900,62.7,0.02084016008065137,63.059999999999995,60.318599999999996
2018-07-26,2018,7,26,Thursday,29,2018-29,62.05,63.0,61.01,62.69,191100,62.69,-0.00015952370189409315,63.037142857142854,60.5408
2018-07-27,2018,7,27,Friday,29,2018-29,62.52,62.54,57.75,58.25,739500,58.25,-0.07082467257891001,62.74,60.6504
2018-07-30,2018,7,30,Monday,30,2018-30,58.25,58.31,56.15,56.33,512000,56.33,-0.03296134195614275,62.35642857142857,60.73519999999999
2018-07-31,2018,7,31,Tuesday,30,2018-30,56.37,57.17,55.41,56.37,721100,56.37,0.0007100496987384464,61.92214285714285,60.82939999999999
2018-08-01,2018,8,1,Wednesday,30,2018-30,56.37,57.81,55.7,57.39,668500,57.39,0.01809473970358244,61.46571428571429,60.940799999999996
2018-08-02,2018,8,2,Thursday,30,2018-30,56.96,58.39,56.16,57.93,262800,57.93,0.009409320809728783,61.06285714285714,61.0656
2018-08-03,2018,8,3,Friday,30,2018-30,58.21,58.43,57.09,58.25,256500,58.25,0.005523902867917485,60.68,61.14
2018-08-06,2018,8,6,Monday,31,2018-31,58.54,59.42,57.67,59.0,731800,59.0,0.012875536480686733,60.299285714285716,61.2024
2018-08-07,2018,8,7,Tuesday,31,2018-31,49.23,51.0,48.26,49.4,4473100,49.4,-0.16271183854442528,59.27357142857142,61.0688
2018-08-08,2018,8,8,Wednesday,31,2018-31,50.0,51.55,49.55,51.1,2181400,51.1,0.03441289262615954,58.375,60.995
2018-08-09,2018,8,9,Thursday,31,2018-31,51.76,51.76,49.56,50.96,967600,50.96,-0.002739714164949336,57.53357142857143,60.8666
2018-08-10,2018,8,10,Friday,31,2018-31,50.76,50.78,48.46,48.98,1149900,48.98,-0.03885399485494945,56.48357142857143,60.681400000000004
2018-08-13,2018,8,13,Monday,32,2018-32,48.97,49.02,47.22,47.42,1699900,47.42,-0.031849762921002056,55.48357142857143,60.449400000000004
2018-08-14,2018,8,14,Tuesday,32,2018-32,47.55,48.29,46.85,48.12,915300,48.12,0.01476172058137859,54.44214285714286,60.22560000000001
2018-08-15,2018,8,15,Wednesday,32,2018-32,47.61,48.5,46.2,46.53,650300,46.53,-0.033042397919388566,53.28785714285714,59.9396
2018-08-16,2018,8,16,Thursday,32,2018-32,46.93,47.41,46.31,46.44,571000,46.44,-0.0019342393068777497,52.44428571428572,59.62839999999999
2018-08-17,2018,8,17,Friday,32,2018-32,46.51,46.61,45.25,46.24,753700,46.24,-0.0043065666269671565,51.72357142857144,59.3292
2018-08-20,2018,8,20,Monday,33,2018-33,46.12,48.21,46.12,47.85,581900,47.85,0.03481826853834313,51.115,59.0428
2018-08-21,2018,8,21,Tuesday,33,2018-33,47.8,48.76,47.8,48.23,460400,48.23,0.00794150637895541,50.46071428571428,58.7604
2018-08-22,2018,8,22,Wednesday,33,2018-33,48.16,48.9,47.72,47.8,527600,47.8,-0.008915619101327543,49.73714285714285,58.4322
2018-08-23,2018,8,23,Thursday,33,2018-33,47.67,48.29,47.24,47.33,300100,47.33,-0.009832581872542323,48.957142857142856,58.1004
2018-08-24,2018,8,24,Friday,33,2018-33,47.4,47.75,46.78,46.84,346900,46.84,-0.010352876811960954,48.08857142857143,57.74139999999999
2018-08-27,2018,8,27,Monday,34,2018-34,46.95,47.79,46.95,47.57,460700,47.57,0.015584960287323923,47.957857142857144,57.3886
2018-08-28,2018,8,28,Tuesday,34,2018-34,47.84,48.23,47.12,47.73,409200,47.73,0.003363461182227301,47.71714285714285,57.0568
2018-08-29,2018,8,29,Wednesday,34,2018-34,47.7,47.88,47.5,47.68,325700,47.68,-0.001047543212656099,47.48285714285714,56.751799999999996
2018-08-30,2018,8,30,Thursday,34,2018-34,47.77,48.4,47.61,47.89,387500,47.89,0.0044043431864211335,47.404999999999994,56.42320000000001
2018-08-31,2018,8,31,Friday,34,2018-34,47.66,48.44,47.32,48.1,438700,48.1,0.004385030009377067,47.45357142857143,56.151
2018-09-04,2018,9,4,Tuesday,35,2018-35,47.91,48.41,47.21,47.39,369900,47.39,-0.014760896195342932,47.401428571428575,55.869
2018-09-05,2018,9,5,Wednesday,35,2018-35,47.56,47.97,46.62,47.33,704400,47.33,-0.001266038391358526,47.458571428571425,55.6036
2018-09-06,2018,9,6,Thursday,35,2018-35,47.28,47.5,43.46,44.23,1003400,44.23,-0.06549761607624427,47.30071428571428,55.27179999999999
2018-09-07,2018,9,7,Friday,35,2018-35,44.23,45.65,43.86,44.47,611500,44.47,0.005426219329656812,47.174285714285716,54.9462
2018-09-10,2018,9,10,Monday,36,2018-36,44.62,45.82,44.16,45.74,393800,45.74,0.028558588327009637,47.02357142857143,54.67979999999999
2018-09-11,2018,9,11,Tuesday,36,2018-36,45.67,46.97,45.64,46.75,312200,46.75,0.022081291746184784,46.917857142857144,54.419799999999995
2018-09-12,2018,9,12,Wednesday,36,2018-36,46.76,47.17,45.61,47.08,396000,47.08,0.007058862696357027,46.866428571428564,54.139399999999995
2018-09-13,2018,9,13,Thursday,36,2018-36,47.19,47.92,45.89,46.14,408900,46.14,-0.019966066373137026,46.78142857142858,53.842200000000005
2018-09-14,2018,9,14,Friday,36,2018-36,45.89,47.49,45.89,46.12,527600,46.12,-0.0004334732992683499,46.730000000000004,53.53020000000001
2018-09-17,2018,9,17,Monday,37,2018-37,46.11,46.11,43.57,43.85,553800,43.85,-0.04921943864561373,46.464285714285715,53.147
2018-09-18,2018,9,18,Tuesday,37,2018-37,43.91,44.92,43.75,44.22,395400,44.22,0.008437919257862525,46.21357142857143,52.78320000000001
2018-09-19,2018,9,19,Wednesday,37,2018-37,44.39,44.61,43.03,43.81,634700,43.81,-0.009271818998054515,45.93714285714286,52.425399999999996
2018-09-20,2018,9,20,Thursday,37,2018-37,44.03,44.64,43.23,44.57,582300,44.57,0.017347598669479547,45.699999999999996,52.0678
2018-09-21,2018,9,21,Friday,37,2018-37,44.87,45.08,42.39,42.58,1116200,42.58,-0.04464881932679532,45.30571428571428,51.64379999999999
2018-09-24,2018,9,24,Monday,38,2018-38,42.68,43.0,41.62,42.91,473700,42.91,0.007750070506496343,44.98571428571428,51.2306
2018-09-25,2018,9,25,Tuesday,38,2018-38,42.92,44.34,42.65,43.62,524200,43.62,0.01654623833599178,44.72071428571429,50.830799999999996
2018-09-26,2018,9,26,Wednesday,38,2018-38,43.77,44.13,42.15,42.46,1030400,42.46,-0.026593302976084865,44.59428571428572,50.3934
